Timestamp, Humidity, Temperature
1511260200,59,23
1511262000,47,23
1511263800,43,23
1511265600,37,22
1511267400,25,22
1511269200,20,21
1511271000,20,21
1511272800,20,21
1511274600,20,21
1511276400,20,21
1511278200,20,21
1511280000,20,21
1511281800,20,21
1511283600,20,21
1511285400,20,21
1511287200,20,21
1511289000,20,21
1511290800,20,21
1511292600,20,21
1511294400,20,21
1511296200,20,21
1511298000,20,21
1511299800,20,21
1511301600,20,21
1511303400,20,21
1511305200,20,21
1511307000,22,21
1511308800,23,21
1511310600,23,21
1511312400,25,21
1511314200,46,21
1511316000,49,22
1511317800,50,22
1511319600,50,22
1511321400,50,22
1511323200,52,22
1511325000,52,23
1511326800,50,23
1511328600,47,22
1511330400,44,22
1511332200,42,22
1511334000,41,22
1511335800,39,22
1511337600,36,22
1511339400,35,22
1511341200,34,22
1511343000,41,22
1511344800,51,22
1511346600,50,22
1511348400,50,21
1511350200,49,21
1511352000,48,21
1511353800,46,21
1511355600,45,21
1511357400,45,21
1511359200,45,21
1511361000,45,21
1511362800,45,21
1511364600,45,21
1511366400,45,21
1511368200,45,21
1511370000,45,21
1511371800,45,21
1511373600,45,21
1511375400,45,21
1511377200,45,21
1511379000,45,21
1511380800,45,21
1511382600,45,21
1511384400,45,21
1511386200,45,21
1511388000,44,21
1511389800,45,21
1511391600,45,21
1511393400,45,21
1511395200,45,21
1511397000,44,21
1511398800,43,21
1511400600,47,21
1511402400,46,22
1511404200,41,22
1511406000,44,22
1511407800,44,22
1511409600,43,23
1511411400,44,23
1511413200,44,23
1511415000,43,23
1511416800,40,23
1511418600,36,22
1511420400,33,22
1511422200,32,22
1511424000,32,22
1511425800,33,22
1511427600,32,22
1511429400,32,22
1511431200,34,22
1511433000,34,21
1511434800,34,21
1511436600,45,21
1511438400,46,22
1511440200,44,21
1511442000,40,21
1511443800,39,21
1511445600,40,21
1511447400,41,21
1511449200,41,21
1511451000,41,21
1511452800,41,21
1511454600,41,21
1511456400,41,21
1511458200,42,21
1511460000,42,21
1511461800,42,21
1511463600,42,21
1511465400,42,21
1511467200,42,21
1511469000,42,21
1511470800,41,21
1511472600,41,21
1511474400,41,21
1511476200,41,21
1511478000,41,21
1511479800,41,21
1511481600,41,21
1511483400,35,20
1511485200,31,21
1511487000,20,21
1511488800,20,21
1511490600,20,21
1511492400,20,21
1511494200,20,21
1511496000,19,21
1511497800,19,21
1511499600,19,21
1511501400,19,21
1511503200,19,21
1511505000,19,21
1511506800,20,21
1511508600,20,21
1511510400,20,21
1511512200,20,21
1511514000,23,21
1511515800,31,21
1511517600,31,21
1511519400,31,21
1511521200,27,21
1511523000,26,21
1511524800,20,21
1511526600,20,21
1511528400,20,21
1511530200,20,21
1511532000,20,21
1511533800,23,21
1511535600,25,21
1511537400,26,21
1511539200,27,21
1511541000,31,21
1511542800,31,21
1511544600,31,21
1511546400,31,21
1511548200,31,21
1511550000,31,21
1511551800,32,21
1511553600,32,21
1511555400,32,21
1511557200,32,21
1511559000,33,21
1511560800,33,21
1511562600,34,21
1511564400,34,21
1511566200,34,21
1511568000,35,20
1511569800,34,21
1511571600,34,20
1511573400,43,21
1511575200,45,21
